stem,usabl
workflow,0.96
aac,0.95
accommod,0.95
adept,0.95
administr,0.95
aid,0.95
alter,0.95
ama,0.95
american,0.95
annfam,0.95
appoint,0.95
assess,0.95
autonom,0.95
bill,0.95
bright,0.95
broader,0.95
burnout,0.95
capita,0.95
care,0.95
cds,0.95
choosingwis,0.95
chronic,0.95
cite,0.95
clinic,0.95
clinician,0.95
cognit,0.95
colloqui,0.95
compil,0.95
consider,0.95
cumbersom,0.95
dam,0.95
ddx,0.95
deleg,0.95
demand,0.95
diagnosi,0.95
differenti,0.95
disciplin,0.95
diseas,0.95
dissatisfact,0.95
ehr,0.95
eight,0.95
emerg,0.95
empow,0.95
encount,0.95
envis,0.95
eva,0.95
excel,0.95
expans,0.95
expedit,0.95
face,0.95
facilit,0.95
frequent,0.95
grade,0.95
half,0.95
health,0.95
heavili,0.95
highlight,0.95
hunt,0.95
ill,0.95
inadequ,0.95
infersci,0.95
influenc,0.95
insuffici,0.95
interf,0.95
interrel,0.95
interrupt,0.95
invest,0.95
iter,0.95
jay,0.95
lab,0.95
lac,0.95
law,0.95
lengthi,0.95
leverag,0.95
lexenco,0.95
licensur,0.95
liquid,0.95
meaning,0.95
medic,0.95
medicin,0.95
memo,0.95
metathesaurus,0.95
mhealth,0.95
mole,0.95
narrat,0.95
ncbi,0.95
nih,0.95
nlm,0.95
nlp,0.95
notion,0.95
nurs,0.95
offic,0.95
opportun,0.95
patient,0.95
physician,0.95
placehold,0.95
plug,0.95
pmc,0.95
polici,0.95
portal,0.95
pragmat,0.95
pride,0.95
primarili,0.95
priorit,0.95
profound,0.95
prognosi,0.95
quadrupl,0.95
questionnair,0.95
rand,0.95
rank,0.95
rearrang,0.95
reclaim,0.95
recoil,0.95
reconfigur,0.95
refil,0.95
regulatori,0.95
resid,0.95
role,0.95
saa,0.95
satisfact,0.95
schnitzer,0.95
seamless,0.95
shr,0.95
societi,0.95
specialti,0.95
spent,0.95
staf,0.95
sub,0.95
suboptim,0.95
succinct,0.95
susan,0.95
symptom,0.95
synthesi,0.95
tactic,0.95
telehealth,0.95
timelin,0.95
tonic,0.95
tonicforhealth,0.95
treatment,0.95
trend,0.95
triag,0.95
tripl,0.95
uml,0.95
uncontroversi,0.95
unpreced,0.95
unstructur,0.95
uspreventiveservicestaskforc,0.95
uspstf,0.95
vari,0.95
variat,0.95
versus,0.95
weight,0.95
whack,0.95
wise,0.95
workload,0.95
recommend,0.94
assist,0.93
challeng,0.93
practic,0.93
profession,0.93
appropri,0.92
engag,0.92
popul,0.92
promot,0.92
within,0.92
demonstr,0.91
structur,0.91
aim,0.9
asynchron,0.9
digit,0.9
interoper,0.9
primari,0.9
qualiti,0.9
train,0.9
product,0.89
base,0.88
distract,0.87
relev,0.87
urgent,0.87
deal,0.86
technolog,0.86
direct,0.85
associ,0.84
coordin,0.84
environ,0.84
human,0.84
incorpor,0.84
institut,0.84
life,0.84
relationship,0.84
scope,0.84
synchron,0.84
team,0.84
often,0.83
prevent,0.83
www,0.83
implement,0.82
requir,0.82
address,0.81
data,0.81
potenti,0.81
these,0.81
abov,0.8
increas,0.8
prioriti,0.8
individu,0.79
schedul,0.79
modular,0.78
relat,0.78
support,0.78
http,0.76
lack,0.76
manag,0.76
various,0.76
achiev,0.75
and,0.75
defin,0.75
extern,0.75
review,0.75
uniqu,0.75
improv,0.74
interact,0.73
may,0.73
through,0.73
collect,0.72
concern,0.72
context,0.72
forc,0.72
necessari,0.72
non,0.72
affect,0.7
agre,0.7
bespok,0.7
driven,0.7
explan,0.7
given,0.7
interfer,0.7
landscap,0.7
near,0.7
neither,0.7
nor,0.7
obtain,0.7
reflect,0.7
retriev,0.7
sign,0.7
six,0.7
spend,0.7
startup,0.7
system,0.7
third,0.7
varieti,0.7
major,0.69
trigger,0.68
effect,0.67
repres,0.67
advoc,0.66
agent,0.66
algorithm,0.66
attend,0.66
candid,0.66
characterist,0.66
eas,0.66
ecosystem,0.66
factor,0.66
famili,0.66
impact,0.66
ongo,0.66
perspect,0.66
prompt,0.66
rapid,0.66
referr,0.66
social,0.66
strategi,0.66
telephon,0.66
virtual,0.66
cost,0.64
offer,0.64
sever,0.64
across,0.63
dynam,0.63
servic,0.63
pdf,0.62
with,0.62
communic,0.61
current,0.61
which,0.61
align,0.6
architectur,0.6
content,0.6
determin,0.6
feedback,0.6
gov,0.6
recogn,0.6
softwar,0.6
flow,0.59
generat,0.59
platform,0.59
prefer,0.59
for,0.58
poor,0.58
duplic,0.57
effort,0.57
hour,0.57
local,0.57
adjust,0.56
contribut,0.56
describ,0.56
identifi,0.56
need,0.56
observ,0.56
remind,0.56
risk,0.56
such,0.56
taken,0.56
upon,0.56
rather,0.55
take,0.55
provid,0.54
record,0.54
awar,0.53
built,0.53
decis,0.53
failur,0.53
forward,0.53
pattern,0.53
play,0.53
process,0.53
week,0.53
all,0.52
definit,0.51
introduct,0.51
posit,0.51
suit,0.51
the,0.51
she,0.5
into,0.49
member,0.49
most,0.49
optim,0.49
solut,0.49
collabor,0.48
post,0.48
regular,0.48
solv,0.48
vision,0.48
between,0.47
design,0.47
report,0.47
specif,0.47
autom,0.46
choos,0.46
concept,0.46
enter,0.46
loop,0.46
set,0.46
accord,0.45
develop,0.45
enhanc,0.45
involv,0.45
itself,0.45
averag,0.44
access,0.43
find,0.43
follow,0.43
high,0.43
present,0.42
action,0.41
adapt,0.41
balanc,0.41
captur,0.41
could,0.41
expert,0.41
liabil,0.41
low,0.41
without,0.41
futur,0.4
mobil,0.4
reduc,0.4
task,0.4
typic,0.4
visit,0.4
after,0.39
although,0.39
due,0.39
inclus,0.39
lead,0.39
pop,0.39
size,0.39
are,0.38
basic,0.38
hard,0.38
miss,0.38
situat,0.38
than,0.38
much,0.37
not,0.37
probabl,0.37
state,0.37
domain,0.36
form,0.36
light,0.36
menus,0.36
minim,0.36
purpos,0.36
research,0.36
updat,0.36
attempt,0.35
detail,0.35
exchang,0.35
import,0.35
market,0.35
thought,0.35
custom,0.34
input,0.34
limit,0.34
per,0.34
quick,0.34
user,0.34
util,0.34
worker,0.34
includ,0.33
interfac,0.33
other,0.33
stop,0.33
