,docname,from,to,pre,keyword,post
1,text1,132,132,"at least currently ) have limited features for conversational UI . Their provisioning and operation is dependent on the Rocket.Chat server . ## Why do it ? The internal Hubot is outdated , it's utility for enterprises and teams is limited and its documentation and",usability,is a challenge blocking many users from making the most of it . Rocket.Chat now has much better options for messaging automation from progress toward an app marketplace model and the recent updates towards an SDK for multiple bot platform / framework adapters . Integrating
2,text2,185,185,". - Work on bug fixing and improving product performance . - Collaborate with cross-functional teams to define , design , and ship new features . - Work with outside data sources and APIs . - Unit-test code for robustness , including edge cases ,",usability,", and reliability . - Continuously implement new iOS technologies to maximize development efficiency . Requirements - BS / MS degree in Computer Science or a related subject . - Familiar programming with Swift 4.0 and Objective-C 2.0 . - Have published at least one"
3,text3,281,281,"less , the search bar closes , making it unusable for searching . ### Expected behavior : The search sidebar does not close . The Idle Time Limit specifies the unit of time . ### Actual behavior : The search sidebar closes too quickly for",usability,. The Idle Time Limit does not specify the unit of time .
4,text8,92,92,/ 5126124 / 13183655 / c72e54cc-d716-11e5-864e-be910be531f0 . png ) The right panel is a proof of concept and may have another design and content . The idea was born from the last change in the alignment of messages TDesktop in wide window and comments about,usability,"popup showing emoji , sticker and GIF's . This panel can be extended to the use of bots . Cheers Note : Some friends mentioned that a similar design is used by Viber desktop . It is a good reference guide . ! [ viber"
5,text11,196,196,"RR400 / RR439 / RAND_RR439 . pdf ) ] . Family Physicians have colloquially advocated for "" Replacing the WHACK [ - a-Mole implementation of EHR driven workflows ] with the LAC [ Life After Clinic ] "" as vision for what how improved EHR",usability,"should reclaim time spent currently on after-hours documentation for the personal lives of clinicians . Here , usability challenges will be defined as product features or situations in which the design and implementation of EHRs do not align with the cognitive and / or workflow"
6,text11,214,214,"the WHACK [ - a-Mole implementation of EHR driven workflows ] with the LAC [ Life After Clinic ] "" as vision for what how improved EHR usability should reclaim time spent currently on after-hours documentation for the personal lives of clinicians . Here ,",usability,challenges will be defined as product features or situations in which the design and implementation of EHRs do not align with the cognitive and / or workflow requirements and preferences of users within and across professional and patient roles and settings . This memo aims
7,text11,263,263,defined as product features or situations in which the design and implementation of EHRs do not align with the cognitive and / or workflow requirements and preferences of users within and across professional and patient roles and settings . This memo aims to describe the,usability,"challenges that affect the clinician-patient relationship , which represent strategies by which the use of SHR can be promoted . This memo will aid in prioritizing key features of SHR development , which represent the tactics by which SHR will promote usability . ### The"
8,text11,305,305,"to describe the usability challenges that affect the clinician-patient relationship , which represent strategies by which the use of SHR can be promoted . This memo will aid in prioritizing key features of SHR development , which represent the tactics by which SHR will promote",usability,". ### The structure of the broader problem of usability challenges Taking the above definition a a starting place , several interrelated domains emerge . - _Product design versus implementation_ Poor EHR design limits the potential for physician-patient engagement by interfering with face-to-face interaction with"
9,text11,315,315,", which represent strategies by which the use of SHR can be promoted . This memo will aid in prioritizing key features of SHR development , which represent the tactics by which SHR will promote usability . ### The structure of the broader problem of",usability,"challenges Taking the above definition a a starting place , several interrelated domains emerge . - _Product design versus implementation_ Poor EHR design limits the potential for physician-patient engagement by interfering with face-to-face interaction with patients . Many local implementations of EHR products have been"
10,text11,813,813,". Most EHR systems are not designed to support digital patient engagement . Failure to incorporate increased interoperability between EHR systems , mHealth platforms , and telehealth technologies represents a missed opportunity to promote health and wellness and manage chronic illnesses . ### Not all",usability,"challenges are directly related to EHR software design As noted above , a number of factors external to EHRs may have considerable effects on usability , such as : - sub-optimal implementation - risk management concerns - institutional liability concerns - regulatory requirements - inadequate"
11,text11,838,838,"and telehealth technologies represents a missed opportunity to promote health and wellness and manage chronic illnesses . ### Not all usability challenges are directly related to EHR software design As noted above , a number of factors external to EHRs may have considerable effects on",usability,", such as : - sub-optimal implementation - risk management concerns - institutional liability concerns - regulatory requirements - inadequate training of users - suboptimal practice workflow processes ### Not all clinician-patient interactions involve face-to-face encounters utilizing EHRs At least 7 types of physician-patient encounter"
12,text11,986,986,"_Asynchronous_ | | - - - | - - - | - - - | | _EHR Necessary_ | Face-to-face | EHR portal message | | _EHR Optional_ | Video chat , Telephone | Secure email , Secure SMS , App-based messaging | ### Key",usability,"challenges physicians face with current EHRs The American Medical Association identified key challenges physicians face with current EHRs [ [ 3 ] ( https : / / www.aace.com / files / ehr-priorities.pdf ) ] . Of these , several deal directly with usability challenges within"
13,text11,1029,1029,"### Key usability challenges physicians face with current EHRs The American Medical Association identified key challenges physicians face with current EHRs [ [ 3 ] ( https : / / www.aace.com / files / ehr-priorities.pdf ) ] . Of these , several deal directly with",usability,challenges within the clinician-patient interaction . - Interference with the patient visit - Issues with care coordination due to lack of interoperability - Increased cognitive workload for physicians - Lack of system-design support for team-based care - Communicating with patients in a changing digital landscape
14,text11,1077,1077,the clinician-patient interaction . - Interference with the patient visit - Issues with care coordination due to lack of interoperability - Increased cognitive workload for physicians - Lack of system-design support for team-based care - Communicating with patients in a changing digital landscape Other key,usability,challenges deal more directly with the design and implementation of specific EHR products . - Lack of data liquidity and high switching costs - Lack of product modularity to support unique physician practices and population needs - Insufficient support for incorporating end-user input into product
15,text11,1131,1131,implementation of specific EHR products . - Lack of data liquidity and high switching costs - Lack of product modularity to support unique physician practices and population needs - Insufficient support for incorporating end-user input into product design and post-implementation feedback for product improvement ###,Usability,"priorities Based on these challenges , the AMA recommends eight EHR usability priorities to be urgently addressed . Of these , half relate directly to the clinician-patient interaction . * * _Not Directly Related to Clinician Patient Interaction * * _ 3 ) Promote care"
16,text11,1143,1143,"high switching costs - Lack of product modularity to support unique physician practices and population needs - Insufficient support for incorporating end-user input into product design and post-implementation feedback for product improvement ### Usability priorities Based on these challenges , the AMA recommends eight EHR",usability,"priorities to be urgently addressed . Of these , half relate directly to the clinician-patient interaction . * * _Not Directly Related to Clinician Patient Interaction * * _ 3 ) Promote care coordination . 4 ) Offer product modularity and configurability . 6 )"
